col,base,lag,PI_h1,PI_h2,PI_h3,SA_gain_e0_h1,SA_gain_e0_h2,SA_gain_e0_h3,SA_gain_b0306_h1,SA_gain_b0306_h2,SA_gain_b0306_h3,MI_minus_null_h1,MI_minus_null_h2,MI_minus_null_h3,PI_plus,SA_plus,MI_plus,keep_R1,keep_R2,keep_R3,keep_R4
fine:t-8m:minute_mod5_sin,minute_mod5_sin,t-8m,0.0,0.0,0.0,0.051404649205533115,0.09464554424326588,0.08149447304595103,0.108636262325712,0.11976979560668344,0.10249786946482375,0.004074031241319442,-0.00024197875624309972,0.002276991557309316,False,True,True,True,True,False,True
fine:t-8m:minute_mod5_cos,minute_mod5_cos,t-8m,0.0,0.0,0.0,0.06370070205029554,0.017760185468762568,0.005048978149380101,0.08208825265538788,0.056910460594206125,0.0746772851775157,0.002583681975649288,-0.001803677003529458,0.002318900214510755,False,True,True,True,True,False,True
fine:t-8m:time_of_day_sin,time_of_day_sin,t-8m,0.0,0.0,0.0,-0.006532517931789883,-0.022387239438348416,-0.055865069208071994,-0.008912257004278779,0.03557525442122733,0.010952233238303855,-0.00234149082982249,0.021828931412680497,0.03447787198341423,False,False,True,True,False,False,False
fine:t-8m:time_of_day_cos,time_of_day_cos,t-8m,0.0,0.0,0.0,0.03820273386524464,0.017122939031977147,0.009367400557358518,-0.01635626053613226,0.017016512985523757,0.014745898569090699,-0.0031039734191873336,0.02612821013822675,0.049724906503802124,False,True,True,True,True,False,True
fine:t-8m:rsi15_centered,rsi15_centered,t-8m,0.0004751786922933358,0.0,0.0,-0.06068001901033959,0.02998107781153614,0.03254168678789027,-0.05102594989663256,0.05242817517185916,0.14613493123172283,0.025488595663718527,0.022739695122242942,0.044685841229141765,False,True,True,True,True,False,True
fine:t-8m:macd_hist_5_20_7_volnorm,macd_hist_5_20_7_volnorm,t-8m,0.0007819505641298482,0.0,7.08211135389547e-05,-0.014226304947917434,-0.02410863489257231,-0.040978132458091565,-0.05586347579871198,0.011149504974927726,0.07870061865448141,0.0,0.005201720751955463,0.00109590221825151,True,False,True,True,True,True,False
fine:t-8m:macd_hist_acceleration,macd_hist_acceleration,t-8m,0.00142724906032754,0.0,0.0,-0.010070606738543653,-0.020609474502442104,-0.021911654853346008,-0.07227777379148481,0.045185189159402395,0.011490202749897538,0.008535034138554387,-0.002423834873148678,0.009067622368473138,False,False,True,True,False,False,False
fine:t-8m:ema_gap_8_32_volnorm,ema_gap_8_32_volnorm,t-8m,-0.006851595687045631,0.002179300526629883,0.0,-0.015739774569012432,-0.025978311345875582,-0.017025717659624462,-0.014528279178582792,0.057553904417828594,0.07115538455049197,0.007169319631174176,0.006696996526994958,0.006726550433986844,False,False,True,True,False,False,False
fine:t-8m:hma_slope16_volnorm,hma_slope16_volnorm,t-8m,-0.0003713540505619524,0.0,0.0,-0.01328438517631536,0.004879463812113016,-0.055892691076531165,-0.0036348888950543667,0.053890197848582844,0.02343723646540674,0.0,0.0,0.0,False,False,False,False,False,False,False
fine:t-8m:sign_flip_rate8,sign_flip_rate8,t-8m,-0.00048637585717633175,0.0,0.0,-0.007697767317971227,-0.016912175223260384,-0.022011054005677266,-0.010474678646987812,0.0567662237251465,0.07060510941558906,0.015556975153009134,-0.0011865556121790632,0.012446301067985388,False,False,True,True,False,False,False
